name,mass,radius,semiMajorAxis,eccentricity,orbitalPeriod,centralCelestialBody,type,effectiveTemp
Kiviuq,3699.53950886734,8.0,0.0,0.0,0.0,Saturn,moon,
Mundilfari,309.80030555212346,3.5,0.0,0.0,0.0,Saturn,moon,
Albiorix,29596.31607093872,16.0,0.0,0.0,0.0,Saturn,moon,
Skathi,462.4424386084175,4.0,0.0,0.0,0.0,Saturn,moon,
Erriapus,903.2078879070654,5.0,0.0,0.0,0.0,Saturn,moon,
Siarnaq,57805.30482605218,20.0,0.0,0.0,0.0,Saturn,moon,
Thrymr,309.80030555212346,3.5,0.0,0.0,0.0,Saturn,moon,
Narvi,309.80030555212346,3.5,0.0,0.0,0.0,Saturn,moon,
Aegir,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Bebhionn,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Bergelmir,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Bestla,309.80030555212346,3.5,0.0,0.0,0.0,Saturn,moon,
Farbauti,112.90098598838317,2.5,0.0,0.0,0.0,Saturn,moon,
Fenrir,57.805304826052186,2.0,0.0,0.0,0.0,Saturn,moon,
Fornjot,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Hati,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Hyrrokkin,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Kari,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Loge,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Skoll,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Surtur,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Jarnsaxa,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Greip,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
Tarqeq,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
S|2004_S7,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
S|2004_S12,112.90098598838317,2.5,0.0,0.0,0.0,Saturn,moon,
S|2004_S13,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
S|2004_S17,57.805304826052186,2.0,0.0,0.0,0.0,Saturn,moon,
S|2006_S1,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
S|2006_S3,112.90098598838317,2.5,0.0,0.0,0.0,Saturn,moon,
S|2007_S2,195.09290378792613,3.0,0.0,0.0,0.0,Saturn,moon,
S|2007_S3,57.805304826052186,2.0,0.0,0.0,0.0,Saturn,moon,
Ariel,9.702945338603679E8,578.9,0.0,0.0,0.0,Uranus,moon,
Umbriel,9.162298699976996E8,584.7,0.0,0.0,0.0,Uranus,moon,
Titania,2.563579324627435E9,788.9,0.0,0.0,0.0,Uranus,moon,
Oberon,2.1618950409217253E9,761.4,0.0,0.0,0.0,Uranus,moon,
Miranda,5.00034490891616E7,235.8,0.0,0.0,0.0,Uranus,moon,
Cordelia,33165.10657763411,20.1,0.0,0.0,0.0,Uranus,moon,
Ophelia,40025.29532696864,21.4,0.0,0.0,0.0,Uranus,moon,
Bianca,80386.75866079026,27.0,0.0,0.0,0.0,Uranus,moon,
Cressida,281478.2194614808,41.0,0.0,0.0,0.0,Uranus,moon,
Desdemona,175104.5205294611,35.0,0.0,0.0,0.0,Uranus,moon,
Juliet,608024.156335034,53.0,0.0,0.0,0.0,Uranus,moon,
Portia,1400836.1642356887,70.0,0.0,0.0,0.0,Uranus,moon,
Rosalind,190546.39089965099,36.0,0.0,0.0,0.0,Uranus,moon,
Belinda,372160.9197258809,45.0,0.0,0.0,0.0,Uranus,moon,
Puck,2170442.4838413373,81.0,0.0,0.0,0.0,Uranus,moon,
Caliban,219861.22026882807,36.0,0.0,0.0,0.0,Uranus,moon,
Sycorax,1988039.101099791,75.0,0.0,0.0,0.0,Uranus,moon,
Prospero,73631.07781851078,25.0,0.0,0.0,0.0,Uranus,moon,
Setebos,65144.06526483795,24.0,0.0,0.0,0.0,Uranus,moon,
Stephano,19301.94526365569,16.0,0.0,0.0,0.0,Uranus,moon,
Trinculo,3435.3315667004385,9.0,0.0,0.0,0.0,Uranus,moon,
Francisco,6272.189732892021,11.0,0.0,0.0,0.0,Uranus,moon,
Margaret,4712.38898038469,10.0,0.0,0.0,0.0,Uranus,moon,
Ferdinand,4712.38898038469,10.0,0.0,0.0,0.0,Uranus,moon,
Perdita,8972.702777917808,13.0,0.0,0.0,0.0,Uranus,moon,
Mab,7057.273737024111,12.0,0.0,0.0,0.0,Uranus,moon,
Cupid,2977.2873578070466,9.0,0.0,0.0,0.0,Uranus,moon,
Triton,1.6035582324771864E10,1353.4,0.0,0.0,0.0,Neptune,moon,
Nereid,2.3151967060629983E7,170.0,0.0,0.0,0.0,Neptune,moon,
Naiad,146769.23974967332,33.0,0.0,0.0,0.0,Neptune,moon,
Thalassa,281478.2194614808,41.0,0.0,0.0,0.0,Neptune,moon,
Despina,1722967.2209531523,75.0,0.0,0.0,0.0,Neptune,moon,
Galatea,2783179.657475286,88.0,0.0,0.0,0.0,Neptune,moon,
Larissa,3727420.8295086846,97.0,0.0,0.0,0.0,Neptune,moon,
Proteus,3.7822576434363596E7,210.0,0.0,0.0,0.0,Neptune,moon,
Halimede,140386.78011464028,31.0,0.0,0.0,0.0,Neptune,moon,
Psamathe,37699.11184307752,20.0,0.0,0.0,0.0,Neptune,moon,
Sao,50177.51786313617,22.0,0.0,0.0,0.0,Neptune,moon,
Laomedeia,43641.43434734261,21.0,0.0,0.0,0.0,Neptune,moon,
Neso,127234.50247038662,30.0,0.0,0.0,0.0,Neptune,moon,
S|2004_N1,2977.2873578070466,9.0,0.0,0.0,0.0,Neptune,moon,
Charon,1.1496109398760433E9,603.6,0.0,0.0,0.0,Pluto,moon,
Nix,80269.89141407673,23.0,0.0,0.0,0.0,Pluto,moon,
Hydra,71308.18421044649,30.5,0.0,0.0,0.0,Pluto,moon,
Kerberos,12068.74233803055,14.0,0.0,0.0,0.0,Pluto,moon,
Styx,0.0,10.0,0.0,0.0,0.0,Pluto,moon,
