#_psys_name,psys_pictureurl,st_name,st_mass,st_radius,st_efftemp,st_pictureurl,pl_name,pl_mass,pl_radius,pl_semimajor,pl_ecc,pl_orbper,pl_pictureurl
K2-207_System,http://bit.ly/2Iz4jPB,K2-207,1.87E+30,647001,5522,http://bit.ly/336nzNZ,K2-207_b,0,16586.144,0,0,12.48749,http://bit.ly/2Q2PngD
Kepler-1576_System,http://bit.ly/2Iz4jPB,Kepler-1576,2.09E+30,737442,5876,http://bit.ly/336nzNZ,Kepler-1576_b,0,6648.756,0,0,6.98471973,http://bit.ly/2Q2PngD
Kepler-394_System,http://bit.ly/2Iz4jPB,Kepler-394,0,786141,6402,http://bit.ly/336nzNZ,Kepler-394_b,0,10223.356,1.24E+07,0,8.005013,http://bit.ly/2Q2PngD
Kepler-394_System,http://bit.ly/2Iz4jPB,Kepler-394,0,786141,6402,http://bit.ly/336nzNZ,Kepler-394_c,0,10580.816,1.65E+07,0,12.130686,http://bit.ly/2Q2PngD
WASP-8_System,http://bit.ly/2Iz4jPB,WASP-8,2.67E+30,716571,5600,http://bit.ly/336nzNZ,WASP-8_b,4.82E+27,80785.96,0,0.31,8.15872,http://bit.ly/2Q2PngD
WASP-8_System,http://bit.ly/2Iz4jPB,WASP-8,2.67E+30,716571,5600,http://bit.ly/336nzNZ,WASP-8_c,1.79E+28,0,7.90E+08,0,4323,http://bit.ly/2Q2PngD
HD_3651_System,http://bit.ly/2Iz4jPB,HD_3651,1.59E+30,0,5221,http://bit.ly/336nzNZ,HD_3651_b,4.33E+26,0,4.41E+07,0.645,62.25,http://bit.ly/2Q2PngD
Kepler-1598_System,http://bit.ly/2Iz4jPB,Kepler-1598,2.13E+30,758313,5940,http://bit.ly/336nzNZ,Kepler-1598_b,0,6076.82,0,0,4.34195123,http://bit.ly/2Q2PngD
Kepler-301_System,http://bit.ly/2Iz4jPB,Kepler-301,0,626130,5815,http://bit.ly/336nzNZ,Kepler-301_b,0,8579.04,5385523.356,0,2.508553,http://bit.ly/2Q2PngD
Kepler-301_System,http://bit.ly/2Iz4jPB,Kepler-301,0,626130,5815,http://bit.ly/336nzNZ,Kepler-301_c,0,8579.04,8975872.26,0,5.419026,http://bit.ly/2Q2PngD
Kepler-301_System,http://bit.ly/2Iz4jPB,Kepler-301,0,626130,5815,http://bit.ly/336nzNZ,Kepler-301_d,0,11152.752,1.68E+07,0,13.751243,http://bit.ly/2Q2PngD
K2-60_System,http://bit.ly/2Iz4jPB,K2-60,1.93E+30,779184,5500,http://bit.ly/336nzNZ,K2-60_b,8.09E+26,48829.036,6731904.195,0,3.00265,http://bit.ly/2Q2PngD
Kepler-759_System,http://bit.ly/2Iz4jPB,Kepler-759,2.07E+30,723528,5860,http://bit.ly/336nzNZ,Kepler-759_b,0,14512.876,0,0,41.805985,http://bit.ly/2Q2PngD
HD_219828_System,http://bit.ly/2Iz4jPB,HD_219828,2.35E+30,1120077,5807,http://bit.ly/336nzNZ,HD_219828_b,1.25E+26,0,7584612.06,0.101,3.83492,http://bit.ly/2Q2PngD
HD_219828_System,http://bit.ly/2Iz4jPB,HD_219828,2.35E+30,1120077,5807,http://bit.ly/336nzNZ,HD_219828_c,2.77E+28,0,8.66E+08,0.8102,4682,http://bit.ly/2Q2PngD
Kepler-748_System,http://bit.ly/2Iz4jPB,Kepler-748,2.13E+30,765270,5934,http://bit.ly/336nzNZ,Kepler-748_b,0,16085.7,0,0,7.40742793,http://bit.ly/2Q2PngD
Kepler-737_System,http://bit.ly/2Iz4jPB,Kepler-737,1.01E+30,333936,3813,http://bit.ly/336nzNZ,Kepler-737_b,0,12511.1,0,0,28.59915399,http://bit.ly/2Q2PngD
Kepler-1510_System,http://bit.ly/2Iz4jPB,Kepler-1510,2.37E+30,890496,6200,http://bit.ly/336nzNZ,Kepler-1510_b,0,21447.6,0,0,84.703921,http://bit.ly/2Q2PngD
CoRoT-3_System,http://bit.ly/2Iz4jPB,CoRoT-3,2.72E+30,1085292,6740,http://bit.ly/336nzNZ,CoRoT-3_b,4.11E+28,72206.92,0,0,4.2568,http://bit.ly/2Q2PngD
Kepler-1380_System,http://bit.ly/2Iz4jPB,Kepler-1380,1.91E+30,653958,5570,http://bit.ly/336nzNZ,Kepler-1380_b,0,9150.976,0,0,10.3108245,http://bit.ly/2Q2PngD
Kepler-1521_System,http://bit.ly/2Iz4jPB,Kepler-1521,1.61E+30,528732,5042,http://bit.ly/336nzNZ,Kepler-1521_b,0,15942.716,0,0,47.14840805,http://bit.ly/2Q2PngD
Kepler-726_System,http://bit.ly/2Iz4jPB,Kepler-726,1.75E+30,591345,5452,http://bit.ly/336nzNZ,Kepler-726_b,0,20804.172,0,0,21.80451088,http://bit.ly/2Q2PngD
Kepler-1391_System,http://bit.ly/2Iz4jPB,Kepler-1391,2.05E+30,765270,5840,http://bit.ly/336nzNZ,Kepler-1391_b,0,10723.8,0,0,54.4092333,http://bit.ly/2Q2PngD
Kepler-1532_System,http://bit.ly/2Iz4jPB,Kepler-1532,1.81E+30,612216,5559,http://bit.ly/336nzNZ,Kepler-1532_b,0,8579.04,0,0,1.09366356,http://bit.ly/2Q2PngD
K2-229_System,http://bit.ly/2Iz4jPB,K2-229,1.73E+30,549603,5315,http://bit.ly/336nzNZ,K2-229_b,0,7292.184,1959732.11,0,0.58426,http://bit.ly/2Q2PngD
K2-229_System,http://bit.ly/2Iz4jPB,K2-229,1.73E+30,549603,5315,http://bit.ly/336nzNZ,K2-229_c,0,12940.052,1.15E+07,0,8.32727,http://bit.ly/2Q2PngD
Kepler-715_System,http://bit.ly/2Iz4jPB,Kepler-715,2.07E+30,723528,5871,http://bit.ly/336nzNZ,Kepler-715_b,0,23949.82,0,0,10.00652995,http://bit.ly/2Q2PngD
K2-218_System,http://bit.ly/2Iz4jPB,K2-218,2.09E+30,702657,5757,http://bit.ly/336nzNZ,K2-218_b,0,16371.668,0,0,8.679885,http://bit.ly/2Q2PngD
K2-71_System,http://bit.ly/2Iz4jPB,K2-71,9.55E+29,299151,4006,http://bit.ly/336nzNZ,K2-71_b,0,13726.464,8362520.989,0,6.98541,http://bit.ly/2Q2PngD
Kepler-704_System,http://bit.ly/2Iz4jPB,Kepler-704,1.93E+30,667872,5616,http://bit.ly/336nzNZ,Kepler-704_b,0,16657.636,0,0,3.76182115,http://bit.ly/2Q2PngD
Kepler-1543_System,http://bit.ly/2Iz4jPB,Kepler-1543,2.76E+30,1147905,6561,http://bit.ly/336nzNZ,Kepler-1543_b,0,17301.064,0,0,6.96710269,http://bit.ly/2Q2PngD
HD_47186_System,http://bit.ly/2Iz4jPB,HD_47186,1.91E+30,751356,5657,http://bit.ly/336nzNZ,HD_47186_b,1.33E+26,0,7479893.55,0.04,4.0845,http://bit.ly/2Q2PngD
HD_47186_System,http://bit.ly/2Iz4jPB,HD_47186,1.91E+30,751356,5657,http://bit.ly/336nzNZ,HD_47186_c,6.65E+26,0,3.58E+08,0.249,1353.6,http://bit.ly/2Q2PngD
Kepler-838_System,http://bit.ly/2Iz4jPB,Kepler-838,1.95E+30,667872,5770,http://bit.ly/336nzNZ,Kepler-838_b,0,17444.048,0,0,15.74957994,http://bit.ly/2Q2PngD
Kepler-1527_System,http://bit.ly/2Iz4jPB,Kepler-1527,2.41E+30,918324,6224,http://bit.ly/336nzNZ,Kepler-1527_b,0,30455.592,0,0,160.129918,http://bit.ly/2Q2PngD
Kepler-1248_System,http://bit.ly/2Iz4jPB,Kepler-1248,2.41E+30,841797,6149,http://bit.ly/336nzNZ,Kepler-1248_b,0,7506.66,0,0,7.46725407,http://bit.ly/2Q2PngD
Kepler-1431_System,http://bit.ly/2Iz4jPB,Kepler-1431,2.05E+30,716571,5806,http://bit.ly/336nzNZ,Kepler-1431_b,0,9365.452,0,0,5.86601526,http://bit.ly/2Q2PngD
WASP-32_System,http://bit.ly/2Iz4jPB,WASP-32,1.43E+30,660915,6140,http://bit.ly/336nzNZ,WASP-32_b,4.99E+27,68632.32,0,0,2.71866,http://bit.ly/2Q2PngD
Kepler-106_System,http://bit.ly/2Iz4jPB,Kepler-106,1.99E+30,723528,5858,http://bit.ly/336nzNZ,Kepler-106_b,3.17E+25,5218.916,0,0,6.16486,http://bit.ly/2Q2PngD
Kepler-106_System,http://bit.ly/2Iz4jPB,Kepler-106,1.99E+30,723528,5858,http://bit.ly/336nzNZ,Kepler-106_c,6.26E+25,15942.716,0,0,13.5708,http://bit.ly/2Q2PngD
Kepler-106_System,http://bit.ly/2Iz4jPB,Kepler-106,1.99E+30,723528,5858,http://bit.ly/336nzNZ,Kepler-106_d,4.84E+25,6076.82,0,0,23.9802,http://bit.ly/2Q2PngD
Kepler-106_System,http://bit.ly/2Iz4jPB,Kepler-106,1.99E+30,723528,5858,http://bit.ly/336nzNZ,Kepler-106_e,6.64E+25,16300.176,0,0,43.8445,http://bit.ly/2Q2PngD
Kepler-875_System,http://bit.ly/2Iz4jPB,Kepler-875,2.11E+30,772227,5958,http://bit.ly/336nzNZ,Kepler-875_b,0,18516.428,0,0,27.5073799,http://bit.ly/2Q2PngD
